Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Gender,Country,Timestamp,Clicked on Ad
68.95,35,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,Female,Tunisia,3/27/2016 0:53,No
80.23,31,68441.85,193.77,Monitored national standardization,West Jodi,Male,Nauru,04/04/2016 01:39,No
69.47,26,59785.94,236.5,Organic bottom-line service-desk,Davidton,Female,San Marino,3/13/2016 20:35,No
74.15,29,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,Male,Italy,01/10/2016 02:31,No
68.37,35,73889.99,225.58,Robust logistical utilization,South Manuel,Female,Iceland,06/03/2016 03:36,No
59.99,23,59761.56,226.74,Sharable client-driven software,Jamieberg,Male,Norway,5/19/2016 14:30,No
88.91,33,53852.85,208.36,Enhanced dedicated support,Brandonstad,Female,Myanmar,1/28/2016 20:59,No
66,48,24593.33,131.76,Reactive local challenge,Port Jefferybury,Male,Australia,03/07/2016 01:40,Yes
74.53,30,68862,221.51,Configurable coherent function,West Colin,Male,Grenada,4/18/2016 9:33,No
69.88,20,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,Male,Ghana,07/11/2016 01:42,No
47.64,49,45632.51,122.02,Centralized neutral neural-net,West Brandonton,Female,Qatar,3/16/2016 20:19,Yes
83.07,37,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,Male,Burundi,05/08/2016 08:10,No
69.57,48,51636.92,113.12,Centralized content-based focus group,West Katiefurt,Male,Egypt,06/03/2016 01:14,Yes
79.52,24,51739.63,214.23,Synergistic fresh-thinking array,North Tara,Female,Bosnia and Herzegovina,4/20/2016 21:49,No
42.95,33,30976,143.56,Grass-roots coherent extranet,West William,Female,Barbados,3/24/2016 9:31,Yes
63.45,23,52182.23,140.64,Persistent demand-driven interface,New Travistown,Male,Spain,03/09/2016 03:41,Yes
55.39,37,23936.86,129.41,Customizable multi-tasking website,West Dylanberg,Female,Palestinian Territory,1/30/2016 19:20,Yes
82.03,41,71511.08,187.53,Intuitive dynamic attitude,Pruittmouth,Female,Afghanistan,05/02/2016 07:00,No
54.7,36,31087.54,NA,Grass-roots solution-oriented conglomeration,Jessicastad,Male,British Indian Ocean Territory (Chagos Archipelago),2/13/2016 7:53,Yes
74.58,40,23821.72,135.51,Advanced 24/7 productivity,Millertown,Male,Russian Federation,2/27/2016 4:43,Yes
77.22,30,64802.33,224.44,Object-based reciprocal knowledgebase,Port Jacqueline,Male,Cameroon,01/05/2016 07:52,No
84.59,35,60015.57,226.54,Streamlined non-volatile analyzer,Lake Nicole,Male,Cameroon,3/18/2016 13:22,No
41.49,52,32635.7,164.83,Mandatory disintermediate utilization,South John,Female,Burundi,5/20/2016 8:49,Yes
87.29,36,61628.72,209.93,Future-proofed methodical protocol,Pamelamouth,Male,Korea,3/23/2016 9:43,No
41.39,41,68962.32,167.22,Exclusive neutral parallelism,Harperborough,Female,Tokelau,6/13/2016 17:27,Yes
NA,28,64828,204.79,Public-key foreground groupware,Port Danielleberg,Male,Monaco,5/27/2016 15:25,No
48.53,28,38067.08,134.14,Ameliorated client-driven forecast,West Jeremyside,Male,Tuvalu,02/08/2016 10:46,Yes
51.95,52,58295.82,129.23,Monitored systematic hierarchy,South Cathyfurt,Female,Greece,7/19/2016 8:32,Yes
70.2,34,32708.94,119.2,Open-architected impactful productivity,Palmerside,Female,British Virgin Islands,4/14/2016 5:08,Yes
76.02,22,46179.97,209.82,Business-focused value-added definition,West Guybury,Female,Bouvet Island (Bouvetoya),1/27/2016 12:38,No
67.64,35,51473.28,267.01,Programmable asymmetric data-warehouse,Phelpschester,Male,Peru,07/02/2016 20:23,No
86.41,28,45593.93,207.48,Digitized static capability,Lake Melindamouth,Male,Aruba,03/01/2016 22:13,No
59.05,57,NA,169.23,Digitized global capability,North Richardburgh,Male,Maldives,7/15/2016 5:05,Yes
55.6,23,30227.98,212.58,Multi-layered 4thgeneration knowledge user,NA,Female,Senegal,1/14/2016 14:00,Yes
57.64,57,45580.92,133.81,Synchronized dedicated service-desk,New Thomas,Male,Dominica,3/15/2016 3:12,Yes
84.37,30,61389.5,201.58,Synchronized systemic hierarchy,Johnstad,Female,Luxembourg,04/12/2016 03:26,No
62.26,53,56770.79,125.45,Profound stable product,West Aprilport,Male,NA,04/07/2016 15:18,Yes
